listing_id,title,price,area,location,url,scraped_date,description,Overdracht_Vraagprijs,Overdracht_Aangeboden sinds,Overdracht_Status,Overdracht_Aanvaarding,Bouw_Hoofdfunctie,Oppervlakten_Totale oppervlakte,Oppervlakten_Type land,Oppervlakten_Veldkavels,Oppervlakten_Grondsoort,Kadastrale gegevens_NEER H 177,kadaster_title,Kadastrale gegevens_Eigendomssituatie,Kadastrale gegevens_HEEZE-LEENDE G 333,Kadastrale gegevens_HELDEN S 825,Kadastrale gegevens_HELDEN U 3,Kadastrale gegevens_HELDEN U 203,Oppervlakten_Grond lengte,Oppervlakten_Grond breedte,"Kadastrale gegevens_OOST-, WEST- EN MIDDELBEERS A 1078",Kadastrale gegevens_AARLE-RIXTEL A 1267,Kadastrale gegevens_HELDEN D 4945,Kadastrale gegevens_HELDEN D 4946,Kadastrale gegevens_OISTERWIJK K 319,Kadastrale gegevens_OISTERWIJK K 1583,Kadastrale gegevens_OISTERWIJK K 1585,Kadastrale gegevens_OOSTERHOUT C 852,Kadastrale gegevens_STRIJEN W 301,Kadastrale gegevens_HEYTHUYSEN M 284,Oppervlakten_Huiskavels,Kadastrale gegevens_MAASBREE W 38,Kadastrale gegevens_MAASBREE W 39,Kadastrale gegevens_BEEKBERGEN L 2924,Kadastrale gegevens_MAASDRIEL M 98,Kadastrale gegevens_SOMEREN T 2,Kadastrale gegevens_SOMEREN T 2012
,Schooldijk,Verkoop bij inschrijving,,6086 NN Neer,https://www.fundainbusiness.nl/agrarische-grond/neer/object-89395886-schooldijk/?navigateSource=resultlist,2025-06-04 14:41:20,"TE KOOP PER  INSCHRIJVING!  Wij bieden  u een  mooi vlak gelegen perceel  cultuurgrond  aan welke middels 3 toeritten  goed toegankelijk is vanuit  de onverharde  wegen 'Schooldijk' en  'Broekweg' bereikbaar vanuit de  Heldenseweg in Neer. Het perceel is omsloten met een sloot welke deels is begroeid. Het perceel is de laatste jaren in gebruik geweest als grasland, maar kan ook in gebruik worden genomen voor akkerbouw of boomteelt. In het perceel is een geregistreerde beregeningsput gelegen, er …",Verkoop bij inschrijving,Log in om te bekijken,Beschikbaar,In overleg,Losse grond,8 ha 97 a 35 ca,Bouwland en grasland,8 ha 97 a 35 ca,Klei,Kadastrale kaart,NEER H 177,Eigendomssituatie 8 ha 97 a 35 ca (geheel perceel),,,,,,,,,,,,,,,,,,,,,,,
,Renheide,Prijs op aanvraag,,5595 Leende,https://www.fundainbusiness.nl/agrarische-grond/leende/object-89351863-renheide/?navigateSource=resultlist,2025-06-04 14:41:25,"LEENDE, RENHEIDE /  WATERSTRAAT  Perceel landbouwgrond  ter grootte  van 00.22.90 ha +  paardenstal  met veldschuur op een perc.opp.  van 0.36.40 ha Inschrijven  is mogelijk  t/m woensdag 4  juni 2025 tot 12.00  uur  Omschrijving  Algemeen Perceel landbouwgrond, ter grootte van 2.290 m2, gelegen aan de Renheide / Waterstraat en op korte afstand gelegen een paardenstal met werktuigenberging / veldschuur en verdere aanhorigheden, ondergrond, erf en landbouwgrond, ter grootte van 3.640 m2, staande …",Prijs op aanvraag,Log in om te bekijken,Beschikbaar,,Losse grond,,Grasland,,Zand,,HEEZE-LEENDE G 333,Eigendomssituatie 0 ha 22 a 90 ca (geheel perceel),Kadastrale kaart,,,,,,,,,,,,,,,,,,,,,,
,Kaumeshoek,Prijs op aanvraag,,5986 NA Beringe,https://www.fundainbusiness.nl/agrarische-grond/beringe/object-89350173-kaumeshoek/?navigateSource=resultlist,2025-06-04 14:41:29,"Ondernemers die op  zoek  zijn naar  een perceel  goede zandgrond dat geschikt  is  voor het telen van diverse akkerbouw- en tuinbouwgewassen,  opgelet! In Beringe  ligt  een perceel van  ca. 03.04.52 ha.   Het betreft een mooi gelegen perceel cultuurgrond aan de Kaumeshoek in Beringe welke door zijn omvang voor diverse agrarische doeleinden geschikt is, de grondkwaliteit als goede zandgrond geeft voldoende mogelijkheden om er diverse tuinbouw- en akkerbouwgewassen te telen of voor de boomteelt …",Prijs op aanvraag,Log in om te bekijken,Beschikbaar,In overleg,Losse grond,3 ha 4 a 52 ca,Bouwland,3 ha 4 a 52 ca,Zand,,HELDEN S 825,Eigendomssituatie 3 ha 4 a 52 ca (geheel perceel),,Kadastrale kaart,,,,,,,,,,,,,,,,,,,,,
,De Remer/Middenpeelweg,Prijs op aanvraag,,5984 NK Koningslust,https://www.fundainbusiness.nl/agrarische-grond/koningslust/object-89349759-de-remer-middenpeelweg/?navigateSource=resultlist,2025-06-04 14:41:32,Wij bieden u  een  mooi perceel  cultuurgrond aan  wat momenteel in gebruik  is  als grasland/weiland. Het perceel is volledig voorzien van  een afrastering en  heeft  drie toegangspoorten. Het  perceel is de  laatste jaren in gebruik als grasland maar is ook geschikt voor de teelt van diverse soorten akkerbouw- en tuinbouwgewassen of voor de boomteelt. In het perceel is een hoogteverschil aanwezig.  Het perceel is goed bereikbaar vanuit de verharde weg ‘De Remer’ te Koningslust en is omsloten  …,Prijs op aanvraag,Log in om te bekijken,Beschikbaar,In overleg,Losse grond,2 ha 24 a 50 ca,Bouwland en grasland,2 ha 24 a 50 ca,Zand,,HELDEN U 3,,,,Kadastrale kaart,1 ha 85 a 45 ca (geheel perceel),,,,,,,,,,,,,,,,,,,
,Achterste Heistraat,Verkoop bij inschrijving,,5091 JB Oost West en Middelbeers,https://www.fundainbusiness.nl/agrarische-grond/oost-west-en-middelbeers/object-89316625-achterste-heistraat/?navigateSource=resultlist,2025-06-04 14:41:36,"Inschrijven is mogelijk  tot  Vrijdag 27  juni 2025  om 12:00u.  Koop  1)  ZIE PUBLICATIE KANAALDIJK ZUID 7 OOST-, WEST- EN  MIDDELBEERS Agrarisch bouwvlak,  met  bedrijfswoning en bedrijfsgebouwen  en aanpalend gelegen  cultuurgrond. Tezamen groot circa 9 hectare. Richtprijs € 1.600.000,-- k.k.  Koop 2) Perceel cultuurgrond ca. 3,35 hectare. Ontsloten aan de 'Achterste Heistraat'.  Koop 3) De totaalcombinatie van koop 1 + 2. Tezamen groot 12,35 hectare.  Vraag bij ons de complete brochure op m …",Verkoop bij inschrijving,Log in om te bekijken,Beschikbaar,In overleg,Losse grond,3 ha 35 a 0 ca,Bouwland,3 ha 35 a 0 ca,Zand,,"OOST-, WEST- EN MIDDELBEERS A 1078",Eigendomssituatie 3 ha 35 a 0 ca (deelperceel),,,,,400 meter,80 meter,Kadastrale kaart,,,,,,,,,,,,,,,,
,Beekseweg ong.,Verkoop bij inschrijving,,5735 CB Aarle-Rixtel,https://www.fundainbusiness.nl/agrarische-grond/aarle-rixtel/object-43950167-beekseweg-ong/?navigateSource=resultlist,2025-06-04 14:41:39,"VERKOOP BIJ INSCHRIJVING  Bij  deze bieden  wij u  een bosperceel met een  diversiteit  aan flora, gelegen aan de Beekseweg, tegenover Beekseweg  13 en naast  Beekseweg  11 aan, met  een grootte van  ca. 0,63.23 ha.  Het perceel is te koop per inschrijving.  Het inschrijfformulier kunt u tot en met 10 juni 2025 vóór 13:30 uur inleveren bij: Van Thiel & Van Rooij Notarissen, Brandstraat 11, 5741 GH te Beek en Donk  U kunt het inschrijfformulier opvragen bij ons kantoor via: 0492-661884 of   LIGG …",Verkoop bij inschrijving,Log in om te bekijken,Beschikbaar,In overleg,Losse grond,0 ha 63 a 23 ca,Bosperceel,0 ha 63 a 23 ca,,,AARLE-RIXTEL A 1267,Eigendomssituatie 0 ha 63 a 23 ca (geheel perceel),,,,,,,,Kadastrale kaart,,,,,,,,,,,,,,,
,Koeberg,Prijs op aanvraag,,5991 NH Baarlo (LI),https://www.fundainbusiness.nl/agrarische-grond/baarlo-li/object-89284933-koeberg/?navigateSource=resultlist,2025-06-04 14:41:43,"TE KOOP AANGEBODEN:  2  percelen bosgrond  gelegen in  de omgeving van Noord-Limburg  nabij  Bovensbos Helden met een totale  oppervlakte  van  01.16.00 ha.  Namens verkoper  bieden wij  twee  percelen  bosgrond  aan in  de  regio Helden-Panningen. Het zijn twee bospercelen op zandgrond, met als opstand hoofdzakelijk naaldbomen. Er zijn geen noemenswaardige belendingen te benoemen. De percelen zijn te bereiken middels zandpaden. Dit betreft wandel- dan wel gemotoriseerde paden.  Kadastrale aand …",Prijs op aanvraag,Log in om te bekijken,Beschikbaar,In overleg,Losse grond,,Bosperceel,,Zand,,HELDEN D 4945,,,,,,,,,,Kadastrale kaart,0 ha 54 a 40 ca (geheel perceel),,,,,,,,,,,,,
,Hildsven,Verkoop bij inschrijving,,5066 CM Moergestel,https://www.fundainbusiness.nl/agrarische-grond/moergestel/object-89215082-hildsven/?navigateSource=resultlist,2025-06-04 14:41:48,Algemeen Betreft een  perceel  landbouwgrond ter  grootte van  circa 6.29.55 ha. Perceel  wordt  in twee kopen aangeboden. Te weten Koop A  en Koop B.  Koop  A is een  nagenoeg rechthoekig perceel  bouwland van 4.08.60 hectare wat ook in gebruik is geweest als boomkwekerij. Het is zowel ontsloten aan de zuidelijk gelegen Hild als ook aan de oostelijk gelegen weg Hildsven. Koop B van 2.20.95 hectare is in gebruik als paardenweide. Het heeft een eigen ontsluiting aan het Hildsven.  Beregeningsver …,Verkoop bij inschrijving,Log in om te bekijken,Beschikbaar,In overleg,Losse grond,,Bouwland en grasland,,Zand,,OISTERWIJK K 319,2 ha 20 a 95 ca (geheel perceel),,,,,,,,,,,Kadastrale kaart,1 ha 63 a 70 ca (geheel perceel),Eigendomssituatie 2 ha 20 a 95 ca (geheel perceel),,,,,,,,,,
,Lageweg,Prijs op aanvraag,,4908 DW Oosterhout (NB),https://www.fundainbusiness.nl/agrarische-grond/oosterhout-nb/object-89211969-lageweg/?navigateSource=resultlist,2025-06-04 14:41:52,"Perceel grasland gelegen  aan  de Lageweg  te Oosterhout  met een totale oppervlakte  van  ca. 02.17.10 ha.  Situering  Het perceel  is gelegen aan  de  Lageweg te Oosterhout  en heeft een  totale grootte van circa 02.17.10 hectare. De gunstige ligging in combinatie met de eigenschappen van het perceel maakt het niet alleen geschikt voor agrarisch gebruik, maar biedt ook interessante mogelijkheden voor alternatieve bestemmingen, zoals natuurcompensatie.  Kadastrale gegevens Het geheel is als vo …",Prijs op aanvraag,Log in om te bekijken,Beschikbaar,In overleg,Losse grond,,Bouwland,,Klei,,OOSTERHOUT C 852,Eigendomssituatie 2 ha 17 a 10 ca (geheel perceel),,,,,,,,,,,,,,Kadastrale kaart,,,,,,,,,
,Molenweg,Prijs op aanvraag,,3291 KE Strijen,https://www.fundainbusiness.nl/agrarische-grond/strijen/object-89211830-molenweg/?navigateSource=resultlist,2025-06-04 14:41:55,"Perceel grasland gelegen  aan  de Molenweg  te Strijen  met een totale oppervlakte  van  ca. 06.64.25 ha.  Situering  Het perceel  is gelegen aan  de  Molenweg te Strijen  en heeft een  totale grootte van circa 06.64.25 hectare. De gunstige ligging in combinatie met de eigenschappen van het perceel maakt het niet alleen geschikt voor agrarisch gebruik, maar biedt ook interessante mogelijkheden voor alternatieve bestemmingen, zoals natuurcompensatie.  Kadastrale gegevens Het geheel is als volgt  …",Prijs op aanvraag,Log in om te bekijken,Beschikbaar,In overleg,Losse grond,,Grasland,,Klei,,STRIJEN W 301,Eigendomssituatie 6 ha 64 a 25 ca (geheel perceel),,,,,,,,,,,,,,,Kadastrale kaart,,,,,,,,
,Arenbos,€ 57.500 k.k.,,6093 ND Heythuysen,https://www.fundainbusiness.nl/agrarische-grond/heythuysen/object-89102295-arenbos/?navigateSource=resultlist,2025-06-04 14:42:00,"Wij bieden u  een  mooi weiland  met schuilstal  aan, gelegen aan de  rand  van Heythuysen. Het weiland is volledig voorzien van  een afrastering met  gegalvaniseerde  palen en een  degelijke stalen dubbele  toegangspoort. Het perceel leent zich ideaal voor het hobbymatig houden van paarden/dieren. Op het perceel staat een stal, deze dienst kan doen als paardenstal of schuilplaats (ca. 8m x 4m). De stal is gebouwd uit betonplaten en met hout betimmerd wat zorgt voor een landelijke uitstraling.  …",€ 57.500 k.k.,Log in om te bekijken,Beschikbaar,In overleg,Losse grond,0 ha 44 a 60 ca,Grasland,0 ha 44 a 60 ca,Zand,,HEYTHUYSEN M 284,Eigendomssituatie 0 ha 44 a 60 ca (geheel perceel),,,,,,,,,,,,,,,,Kadastrale kaart,,,,,,,
,Struiken,Verkoop bij inschrijving,,5993 NA Maasbree,https://www.fundainbusiness.nl/agrarische-grond/maasbree/object-43606865-struiken/?navigateSource=resultlist,2025-06-04 14:42:03,"Te koop per  inschrijving:   2  Percelen cultuurgrond,  thans in gebruik voor  akkerbouw  (asperges), gesitueerd in het buitengebied  tussen Sevenum en Maasbree  en grenzend  aan de afrit  van de snelweg A67,  met een totale oppervlakte van ca. 3,5 ha. Een locatie met toekomstperspectief!   Inschrijven is mogelijk tot uiterlijk vrijdag 15 november a.s. om 12.00u. Een inschrijfformulier is verkrijgbaar via ons kantoor.  Kadaster:                 Gemeente Maasbree, sectie W, nummers 38 en 39, gro …",Verkoop bij inschrijving,Log in om te bekijken,Beschikbaar,In overleg,Losse grond,3 ha 52 a 42 ca,Bouwland,,Zand,,MAASBREE W 38,,,,,,,,,,,,,,,,,,3 ha 52 a 42 ca,Kadastrale kaart,0 ha 75 a 68 ca (geheel perceel),,,,
,Schalterbergweg,€ 73.822 k.k.,,7361 TK Beekbergen,https://www.fundainbusiness.nl/agrarische-grond/beekbergen/object-43679658-schalterbergweg/?navigateSource=resultlist,2025-06-04 14:42:07,"BEEKBERGEN - SCHALTERBERGWEG  ONG.   Gelegen  in het  buitengebied van Beekbergen, nabij  de  openbare verharde weg, perceel  bosgrond,  met  een oppervlakte van 1 ha  73 a  70  ca  (17.370  m²). De  begroeiing  van het perceel is voornamelijk grove den.  Aanvaarding in overleg  Vraagprijs € 4,25 p/m² k.k.",€ 73.822 k.k.,Log in om te bekijken,Beschikbaar,In overleg,Losse grond,,Bosperceel,,,,BEEKBERGEN L 2924,Eigendomssituatie 1 ha 73 a 70 ca (geheel perceel),,,,,,,,,,,,,,,,,,,,Kadastrale kaart,,,
,Hoevenseweg,Prijs op aanvraag,,5334 LG Velddriel,https://www.fundainbusiness.nl/agrarische-grond/velddriel/object-89900906-hoevenseweg/?navigateSource=resultlist,2025-06-04 14:42:11,"Te koop aangeboden  in  het buitengebied  van Velddriel  een perceel cultuurgrond van  02.85.90  ha., gelegen aan de  Hoevenseweg.    Namens verkoper bieden wij te  koop aan  een  mooi  perceel  agrarische cultuurgrond  gelegen  aan de openbare verharde weg in het buitengebied van Velddriel. Het perceel is mooi rechthoekig van vorm, zonder noemenswaardige belendingen in de directe omgeving. Vanwege het gebruik van het perceel in het verleden, is het afgesloten middels twee grote poorten. Middel …",Prijs op aanvraag,Log in om te bekijken,Beschikbaar,In overleg,Losse grond,,Grasland,,,,MAASDRIEL M 98,Eigendomssituatie 2 ha 85 a 90 ca (geheel perceel),,,,,190 meter,115 meter,,,,,,,,,,,,,,,Kadastrale kaart,,
,Hoeksestraat 21-a,€ 225.000 k.k.,,5712 AP Someren,https://www.fundainbusiness.nl/agrarische-grond/someren/object-42270740-hoeksestraat-21-a/?navigateSource=resultlist,2025-06-04 14:42:15,"Prachtig gelegen perceel  weiland  met een  vrijstaande schuur.   BIJZONDERHEDEN - Op  het  perceel is een waterput  aanwezig  waarop  een waterpomp is aangesloten -  De schuur  is  voorzien  van  elektra   OMGEVING  Het perceel bevindt zich op ca. 2,50 kilometer afstand van het centrum van Someren met de dagelijkse voorzieningen, diverse terrassen en eetgelegenheden.  Op ca. 6 kilometer zijn diverse recreatie mogelijkheden gelegen. Maak een ontspannende wandeling op de Strabrechtse Heide of pa …",€ 225.000 k.k.,Log in om te bekijken,Beschikbaar,In overleg,Losse grond,,Grasland,,,,SOMEREN T 2,,,,,,,,,,,,,,,,,,,,,,,Kadastrale kaart,0 ha 8 a 10 ca (geheel perceel)
