listing_id,title,category,price,location,url,scraped_date,description,Overdracht_Vraagprijs,Overdracht_Servicekosten,Overdracht_Aangeboden_sinds,Overdracht_Status,Overdracht_Aanvaarding,Bouw_Hoofdfunctie,Bouw_Soort_bouw,Bouw_Bouwjaar,Oppervlakten_Oppervlakte,Oppervlakten_Perceel,Indeling_Aantal_bouwlagen,Indeling_Voorzieningen,Energie_Energielabel,Omgeving_Ligging,Omgeving_Bereikbaarheid,Bouw_Paardenboxen,Oppervlakten_Totale_oppervlakte,Oppervlakten_Huiskavels,Woonruimte_Bedrijfswoningen,Woonruimte_Hoofdwoning,Woonruimte_Inhoud,Woonruimte_Bouwjaar,kadastrale_code,eigendomssituatie,Overdracht_Huurprijs,Oppervlakten_Bedrijfshal_oppervlak,Oppervlakten_Terrein_oppervlak,Oppervlakten_Kantoor_oppervlak,Overdracht_Oorspronkelijke_vraagprijs,Parkeergelegenheid_Parkeerplaatsen,Parkeergelegenheid_Parkeerkosten,Bouw_Bouwperiode,Oppervlakten_Verkoopvloeroppervlakte,Oppervlakten_Breedte_gevel,Omgeving_Bijdrage_winkeliersvereniging,Omgeving_Welstandsklasse,Overdracht_Oorspronkelijke_huurprijs,Overname_Bedrijfsovername,Overname_Personeel,Bouw_Soort_horeca,Indeling_Gelegen_op,Oppervlakten_Vrije_hoogte
43625705,Lidwinastraat 57,Bedrijfshal,€ 1.159 /mnd,5262 EN Vught,https://www.fundainbusiness.nl/bedrijfshal/vught/object-43625705-lidwinastraat-57/?navigateSource=resultlist,2025-06-10 11:31:13,"Ontdek deze kantoorruimte  van  circa 103  m² VVO,  prachtig gelegen in de  Vughtse  wijk Moleneind, vlakbij het Winkelcentrum  Moleneindplein.  Een  uitgelezen kans voor kantoorhuurders  die  op  zoek zijn naar een opvallende  & mooie locatie.  Kenmerken: • Eigen Entree: Deze ruimte heeft een zelfstandige / eigen toegang • Ruimtelijke Indeling: • Begane grond: Een eigen hal van circa 6 m² met een trap naar de eerste verdieping. • 1e Verdieping: Ongeveer 74 m², onderverdeeld in twee open kantoo …",,,Log in om te bekijken,Beschikbaar,In overleg,Bedrijfshal,Bestaande bouw,2001,103 m² (in units vanaf 1 m²),,,,Niet beschikbaar,,,,,,,,,,,,€ 1.159 per maand,103 m²,,,,,,,,,,,,,,,,
43467665,Brabantlaan 3,Kantoor,Huurprijs op aanvraag,5216 TV Den Bosch,https://www.fundainbusiness.nl/kantoor/den-bosch/object-43467665-brabantlaan-3/?navigateSource=resultlist,2025-06-10 11:31:18,"Kantoorkamers beschikbaar vanaf  3  kamers tot  en met  550 m² voor ondernemers  gelieerd  aan de provincie Brabant en/of  met  een  maatschappelijk oogmerk!  Locatie  Het  Pettelaarpark  (of beter kantorenpark Pettelaarpark) ligt  pal aan de op- en afrit van de A2, de belangrijkste verkeersader van Nederland. Pettelaarpark is met name bekend door de aanwezigheid van het Provinciehuis, maar ook vanwege de vestiging van Canon, Dura Vermeer, Euler Hermes, Taxperience, Ctac en de Volksbank.  De bo …",,Geen servicekosten bekend,Log in om te bekijken,Beschikbaar,In overleg,Kantoor,Bestaande bouw,1971,550 m² (in units vanaf 75 m²),,4 bouwlagen,"Mechanische ventilatie, topkoeling, inbouwarmaturen, liften, kabelgoten, systeemplafond, verwarming en kamerindeling",C,,,,,,,,,,,,Huurprijs op aanvraag,,,,,,,,,,,,,,,,,
42360352,Hofplein 1,Winkel,Huurprijs op aanvraag,5223 LS Den Bosch,https://www.fundainbusiness.nl/winkel/den-bosch/object-42360352-hofplein-1/?navigateSource=resultlist,2025-06-10 11:31:23,"Huurprijs op aanvraag    Multifunctionele ruimte  gelegen op  zichtlocatie wanneer u het  “Paleiskwartier”  binnen rijdt ! Deze ruimte  kan  aan  meerdere bedrijven worden aangeboden.    Het  laatste gebruik is horeca geweest,  maar er kan ook gedacht worden aan een kantoor- balie-ruimte, praktijkruimte, kantoorruimte, etc !  De totale ruimte is gelegen op de begane grond een heeft een mooie belevingshoogte. Tevens is er bij horeca de mogelijkheid voor een eigen groot terras voor de deur ! Wij  …",,,Log in om te bekijken,Beschikbaar,Per direct beschikbaar,Winkel,Bestaande bouw,2017,116 m²,,1 bouwlaag,,Niet verplicht,,,,,,,,,,,,Huurprijs op aanvraag,,,,,,,,116 m²,8 m,Nee,A1,,,,,,
88560899,Kerkstraat 13,Winkel,Huurprijs op aanvraag,5261 CP Vught,https://www.fundainbusiness.nl/winkel/vught/object-88560899-kerkstraat-13/?navigateSource=resultlist,2025-06-10 11:31:27,"Adres Kerkstraat 13  te  Vught   Object Commerciële  ruimte  Ligging De  commerciële  ruimte is prominent gelegen op  de Kerkstraat een centrale  winkellocatie in  het kernwinkelgebeid  van Vught.  In de  nabije  omgeving zijn er diverse winkelruimten gevestigd met onder andere Pattiserie De Rouw, visspeciaalzaak Polpo, Kaja Art tekenwinkel, Reformhuis l'autre Côte Vught, Yo bloem en meer, Viermakelaars, Cora Lingerie, Bistro Petite Ruelle, Eetcafe 't Geveltje, Cafetaria Bienvenue etc.  Centrum …",Prijs op aanvraag,,Log in om te bekijken,Beschikbaar,In overleg,Winkel,Bestaande bouw,1969,198 m²,198 m²,1 bouwlaag,,Niet beschikbaar,Stadscentrum/dorpskern,,,,,,,,,,,Huurprijs op aanvraag,,,,,,,,198 m²,9 m,Nee,A1,,,,,,
42981717,Kempenlandstraat 15-27,Bedrijfshal,Huurprijs op aanvraag,5262 GK Vught,https://www.fundainbusiness.nl/bedrijfshal/vught/object-42981717-kempenlandstraat-15-27/?navigateSource=resultlist,2025-06-10 11:31:32,"TE HUUR Meerdere  units  beschikbaar   De te  huur aangeboden bedrijfsruimte is  gelegen  aan de Kempenlandstraat 25A, op  bedrijventerrein  ""De  Baarzen"" ten oosten van  de  kern  van Vught. De gemeente Vught  telt ruim 25.000 inwoners en is gelegen in een landschappelijk mooie omgeving, op korte afstand van de stad ‘s-Hertogenbosch. De omgeving kenmerkt zich enerzijds door een mix van midden en kleine bedrijven en anderzijds door de aanwezigheid van solitaire kantoorgebouwen, groothandelsbedr …",,,Log in om te bekijken,Beschikbaar,In overleg,Bedrijfshal,Bestaande bouw,1994,408 m² (in units vanaf 68 m²),2.060 m²,,"Overheaddeuren, betonvloer en sprinkler",Niet beschikbaar,Bedrijventerrein,"Bushalte op minder dan 500 m, NS Intercitystation op 2000 m tot 3000 m en snelwegafrit op 2000 m tot 3000 m",,,,,,,,,,Huurprijs op aanvraag,408 m²,,,,,,,,,,,,,,,,
40838084,Kempenlandstraat 11,Kantoor,€ 700 /mnd,5262 GK Vught,https://www.fundainbusiness.nl/kantoor/vught/object-40838084-kempenlandstraat-11/?navigateSource=resultlist,2025-06-10 11:31:36,"Te huur kantoorruimte  vanaf  circa 33  m²   Het kantoorobject is gelegen  aan  de Kempenlandstraat 11, op bedrijventerrein  De  Baarzen  in Vught. De kantoorruimte  staat  op  de ultieme zichtlocatie van een  kleinschalig bedrijfverzamelcomplex. De gemeente Vught telt ruim 25.000 inwoners en is gelegen in een landschappelijk mooie omgeving, op korte afstand van de stad ‘s-Hertogenbosch. De kantoorruimte heeft door haar ligging aan een drukke doorgaande weg een uitstekende attentiewaarde.  Kant …",,€ 25 per maand (21% BTW van toepassing),Log in om te bekijken,Beschikbaar,In overleg,Kantoor,Bestaande bouw,1987,550 m² (in units vanaf 33 m²),,2 bouwlagen,Airconditioning en te openen ramen,Niet beschikbaar,Bedrijventerrein,NS Intercitystation op 500 m tot 1000 m en snelwegafrit op 1000 m tot 1500 m,,,,,,,,,,€ 700 per maand,,,,,,,,,,,,,,,,,
49929971,Kempenlandstraat 9-A,Kantoor,Huurprijs op aanvraag,5262 GK Vught,https://www.fundainbusiness.nl/kantoor/vught/object-49929971-kempenlandstraat-9-a/?navigateSource=resultlist,2025-06-10 11:31:40,"TE HUUR Kantoorkamers  aan  achterzijde en  voorzijde van  het pand  Het  kantoorobject  is gelegen aan de Kempenlandstraat  9a,  op  bedrijventerrein De Baarzen in  Vught.  De  kantoorruimten zijn gelegen op de  eerste verdieping van een kleinschalig en modern bedrijfsverzamelcomplex. Het geheel is zeer ruim van opzet. De gemeente Vught telt ruim 32.000 inwoners en is gelegen in een landschappelijk mooie omgeving, op korte afstand van de stad ‘s-Hertogenbosch. Bovendien op loopafstand van natu …",,€ 25 per maand (21% BTW van toepassing),Log in om te bekijken,Beschikbaar,In overleg,Kantoor,Bestaande bouw,,71 m² (in units vanaf 23 m²),1.318 m²,1 bouwlaag,,Niet beschikbaar,Bedrijventerrein,NS Intercitystation op minder dan 500 m en snelwegafrit op 1000 m tot 1500 m,,,,,,,,,,Huurprijs op aanvraag,,,,,,,1971-1980,,,,,,,,,,
47214636,Sint Jorisstraat 11,Kantoor,Huurprijs op aanvraag,5211 HA Den Bosch,https://www.fundainbusiness.nl/kantoor/den-bosch/object-47214636-sint-jorisstraat-11/?navigateSource=resultlist,2025-06-10 11:31:45,"TE HUUR Circa  48  m² kantoorruimte  In kamers  vanaf 15 m²   MOMENTEEL  GEEN AANBOD  Het object  is  gelegen  aan de Sint Jorisstraat  in  het  centrum van ’s-Hertogenbosch. De Sint  Jorisstraat is een zijstraat van de Vughterstraat, één van de belangrijkste invalswegen van het centrum van ’s-Hertogenbosch. De Sint Jorisstraat is de laatste mogelijkheid om met de auto wederom de Zuidwal te bereiken alvorens het promenadegebied begint. De Zuidwal fungeert als rondweg van het centrum. In de dire …",,Geen servicekosten bekend,Log in om te bekijken,Beschikbaar,In overleg,Kantoor,Bestaande bouw,Voor 1906,48 m² (in units vanaf 15 m²),486 m²,3 bouwlagen,"Te openen ramen, toilet, pantry, verwarming en kamerindeling",Niet verplicht,Stadscentrum/dorpskern,NS Intercitystation op 1000 m tot 1500 m en snelwegafrit op 2000 m tot 3000 m,,,,,,,,,,Huurprijs op aanvraag,,,,,,,,,,,,,,,,,
43540963,Verwersstraat 87-B,Kantoor,€ 2.050 /mnd,5211 HV Den Bosch,https://www.fundainbusiness.nl/kantoor/den-bosch/object-43540963-verwersstraat-87-b/?navigateSource=resultlist,2025-06-10 11:31:48,"Locatie Deze ruimte  kent  een rijke  historie met  talloze bekende gebruikers. Het  pand  werd begin jaren '60, in gebruik genomen als  eerste vestiging van  het, inmiddels wereldwijd bekende,  bedrijf Würth.  Daarna  volgden  diverse ambachtslieden (een sigarenmaker, een boekbinder en een lederij) en als laatste gebruiker, de bij alle Bosschenaren bekende jeugdkroeg: De Oetel.   Deze commerciële ruimte is gelegen in de Verwersstraat, die fungeert als verbindingsstraat tussen de Markt en de Pa …",,Geen servicekosten bekend,Log in om te bekijken,Beschikbaar,In overleg,Kantoor,Bestaande bouw,Voor 1906,120 m²,,1 bouwlaag,"Airconditioning, mechanische ventilatie, inbouwarmaturen, te openen ramen, systeemplafond, toilet, pantry, verwarming en kamerindeling",Niet beschikbaar,Stadscentrum/dorpskern,"Bushalte op minder dan 500 m, NS Intercitystation op 2000 m tot 3000 m en snelwegafrit op 4000 m tot 5000 m",,,,,,,,,,€ 2.050 per maand,,,,,,,,,,,,,,,,,
89390457,Nieuwe Baan 2-a2,Bedrijfshal,€ 500 /mnd,5076 SV Haaren,https://www.fundainbusiness.nl/bedrijfshal/haaren/object-89390457-nieuwe-baan-2-a2/?navigateSource=resultlist,2025-06-10 11:31:52,"Twee zelfstandige units  te  huur met  een gezamenlijke  oppervlakte van ca. 160m2  Gelegen  op kleinschalig bedrijventerrein aan de  rand van Haaren in  de directe  nabijheid van  de uitvalsweg  richting de  N65  (Tilburg-den Bosch)   De ruimtes (Per unit ca. 80m2) zijn zelfstandig en beschikken over een overhead deur.  Parkeren Er is een ruime parkeerfaciliteit beschikbaar op eigen terrein.  Huurprijs De aanvangshuurprijs bedraagt € 500,00 per unit per maand, te vermeerderen met BTW.  Indexer …",,,Log in om te bekijken,Beschikbaar,In overleg,Bedrijfshal,Bestaande bouw,2024,160 m² (in units vanaf 80 m²),,,Overheaddeuren en betonvloer,Niet verplicht,Bedrijventerrein,,,,,,,,,,,€ 500 per maand,160 m²,,,,,,,,,,,,,,,,
43442904,Vondelstraat 12,Kantoor,€ 1.300 /mnd,5216 HJ Den Bosch,https://www.fundainbusiness.nl/kantoor/den-bosch/object-43442904-vondelstraat-12/?navigateSource=resultlist,2025-06-10 11:31:57,"TE HUUR Vondelstraat  12  | 's-Hertogenbosch   Omschrijving  object Een kantoor-/praktijk-/winkelruimte van  circa  90 m² groot, onderdeel van het wijk winkelcentrum  Zuid de ''Zuiderpassage''.  Het winkelcentrum heeft een  lokale functie  binnen  de  wijk Den Bosch Zuid en is gebouwd in 1960.  Locatie & Omgeving Het object is op enkele autominuten gelegen nabij de op- en afritten van de A2, met een directe aansluiting op de A59.  Verder bevindt zich in de directe omgeving een bushalte waardoor …",,Geen servicekosten bekend,Log in om te bekijken,Beschikbaar,In overleg,Kantoor,Bestaande bouw,1960,90 m²,,1 bouwlaag,"Airconditioning, toilet en verwarming",Niet beschikbaar,,,,,,,,,,,,€ 1.300 per maand,,,,,,,,,,,,€ 1.250 per maand,,,,,
42359613,Zuidwal 57-A,Kantoor,Huurprijs op aanvraag,5211 JE Den Bosch,https://www.fundainbusiness.nl/kantoor/den-bosch/object-42359613-zuidwal-57-a/?navigateSource=resultlist,2025-06-10 11:32:01,"TE HUUR Zuidwal  57  C en  D |  's-Hertogenbosch  Fantastische kantoorruimte  gelegen  aan de zuidzijde van de binnenstad, op een  prominente plek aan  het natuurgebied ‘Het Bossche  Broek’, welke  onderdeel  uitmaakt  van het kantorencomplex “Bastion Zuid”. Het centrum van ’s-Hertogenbosch ligt met al haar bijbehorende voorzieningen op enkele minuten loopafstand. De kantoorruimte is gelegen op de tweede en derde etage.  Het gebouw wordt op dit moment volledig getransformeerd en is voorzien van …",,Geen servicekosten bekend,Log in om te bekijken,Beschikbaar,In overleg,Kantoor,Bestaande bouw,1987,1.040 m² (in units vanaf 500 m²),,2 bouwlagen,,Niet beschikbaar,Stadscentrum/dorpskern,,,,,,,,,,,Huurprijs op aanvraag,,,,,14 overdekte parkeerplaatsen,,,,,,,,,,,,
,Residentieplein 4,Café-restaurant,€ 285 /m²/jaar,5223 LP Den Bosch,https://www.fundainbusiness.nl/horeca/residentieplein-4/object-43704879/?navigateSource=resultlist,2025-06-10 11:32:05,"Omschrijving object Het  betreft  een nieuwbouw  casco commerciële  ruimte die geschikt is  voor  diversen invullingen zoals horeca, kantoor  of  medisch.  De ruimte beschikt over  hoge  plafonds,  een tweetal toegangsmogelijkheden en een  hoogteverschil in de vloer, deelverhuur is hierdoor goed mogelijk.   Oppervlakte: circa 268 m² In units vanaf: circa 180 m² Bouwjaar: 2024  Paleiskwartier Paleiskwartier in Den Bosch is uitstekend bereikbaar, zowel met het openbaar vervoer als met de auto. De …",,,Log in om te bekijken,Beschikbaar,In overleg,Horeca,Nieuwbouw,Momenteel in aanbouw,268 m²,,1 bouwlaag,,Niet verplicht,,,,,,,,,,,,€ 285 per vierkante meter per jaar,,,,,,,,268 m²,,,B1,,€ 76.380 (inventaris + goodwill 21% BTW van toepassing),Nee,Café-restaurant,Begane grond,
42359617,Zuidwal 57-D,Kantoor,Huurprijs op aanvraag,5211 JE Den Bosch,https://www.fundainbusiness.nl/kantoor/den-bosch/object-42359617-zuidwal-57-d/?navigateSource=resultlist,2025-06-10 11:32:21,"TE HUUR Zuidwal  57D  | 's-Hertogenbosch   Fantastische  kantoorruimte gelegen aan de  zuidzijde  van de binnenstad, op een prominente plek aan  het natuurgebied ‘Het  Bossche Broek’, welke onderdeel  uitmaakt van  het  kantorencomplex  “Bastion Zuid”. Het centrum van ’s-Hertogenbosch ligt met al haar bijbehorende voorzieningen op enkele minuten loopafstand. De kantoorruimte is gelegen op de derde etage.  Het gebouw wordt op dit moment volledig getransformeerd en heeft nu al een energielabel A. …",,Geen servicekosten bekend,Log in om te bekijken,Beschikbaar,In overleg,Kantoor,Bestaande bouw,1987,550 m²,,1 bouwlaag,,Niet beschikbaar,Stadscentrum/dorpskern,,,,,,,,,,,Huurprijs op aanvraag,,,,,7 overdekte parkeerplaatsen,,,,,,,,,,,,
42359616,Zuidwal 57-C,Kantoor,Huurprijs op aanvraag,5211 JE Den Bosch,https://www.fundainbusiness.nl/kantoor/den-bosch/object-42359616-zuidwal-57-c/?navigateSource=resultlist,2025-06-10 11:32:25,"TE HUUR Zuidwal  57  C| 's-Hertogenbosch   Fantastische  kantoorruimte gelegen aan de  zuidzijde  van de binnenstad, op een prominente plek aan  het natuurgebied ‘Het  Bossche Broek’, welke onderdeel  uitmaakt van  het  kantorencomplex  “Bastion Zuid”. Het centrum van ’s-Hertogenbosch ligt met al haar bijbehorende voorzieningen op enkele minuten loopafstand. De kantoorruimte is gelegen op de tweede etage.  Het gebouw wordt op dit moment volledig getransformeerd en heeft nu al een energielabel A …",,Geen servicekosten bekend,Log in om te bekijken,Beschikbaar,In overleg,Kantoor,Bestaande bouw,1987,580 m²,,1 bouwlaag,,Niet beschikbaar,Stadscentrum/dorpskern,,,,,,,,,,,Huurprijs op aanvraag,,,,,7 overdekte parkeerplaatsen,,,,,,,,,,,,
42359602,Oude Hulst 13,Kantoor,Huurprijs op aanvraag,5211 HC Den Bosch,https://www.fundainbusiness.nl/kantoor/den-bosch/object-42359602-oude-hulst-13/?navigateSource=resultlist,2025-06-10 11:32:31,"TE HUUR Oude  Hulst  3 |  's-Hertogenbosch   Fantastische kantoorruimte gelegen aan  de  zuidzijde van de binnenstad, op een prominente plek  aan het natuurgebied  ‘Het Bossche Broek’, welke  onderdeel uitmaakt  van  het  kantorencomplex “Bastion Zuid”. Het centrum van ’s-Hertogenbosch ligt met al haar bijbehorende voorzieningen op enkele minuten loopafstand. De kantoorruimte is gelegen op de begane grond, heeft een speels karakter en een eigen dakterras.  Het gebouw wordt op dit moment volledi …",,Geen servicekosten bekend,Log in om te bekijken,Beschikbaar,In overleg,Kantoor,Bestaande bouw,1987,890 m²,,1 bouwlaag,,A++,Stadscentrum/dorpskern,,,,,,,,,,,Huurprijs op aanvraag,,,,,9 overdekte parkeerplaatsen,,,,,,,,,,,,
88755829,Raadhuisstraat,Winkel met showroom,Huurprijs op aanvraag,5261 EH Vught,https://www.fundainbusiness.nl/winkel/vught/object-88755829-raadhuisstraat/?navigateSource=resultlist,2025-06-10 11:32:35,"Te huur:   Er  zijn nog  slecht 2  units beschikbaar in het  nieuwbouwproject  aan de Raadhuisstraat in  Vught.    Eén daarvan is een unit  van  340 m²  bvo  met  een  breed front  van ruim 9 meter gelegen tussen Hema en Etos, vraagprijs EUR 235,-/m² per jaar ex btw.   De andere unit is een hoekunit van 204 m² bvo geschikt voor dag/avond horeca (terrasmogelijkheid) en ook voor detailhandel of dienstverlening, vraagprijs EUR 235,-/m² per jaar ex btw.  Andere huurders in het project zijn Albert H …",,,Log in om te bekijken,Beschikbaar,In overleg,Winkel met showroom,Nieuwbouw,Momenteel in aanbouw,340 m² (in units vanaf 204 m²),,,,Niet beschikbaar,Stadscentrum/dorpskern,,,,,,,,,,,Huurprijs op aanvraag,,,,,,,,340 m²,"9,3 m",Ja,A1,,,,,,
43542030,St.-Lambertusstraat 20,Bedrijfshal,€ 995 /mnd,5266 AE Cromvoirt,https://www.fundainbusiness.nl/bedrijfshal/cromvoirt/object-43542030-st-lambertusstraat-20/?navigateSource=resultlist,2025-06-10 11:32:39,"Op zoek naar  een  veilige en  altijd toegankelijke  opslagruimte / loods?   Circa  110 m² multifunctionele opslagruimte  gelegen  aan  de St.-Lambertusstraat 20 te Cromvoirt.    Opslagruimte: De  opslagruimte  is  gelegen  op de  begane grond met een trap naar een vide / verdiepingsvloer en heeft een totaal oppervlakte van circa 110m² voorzien van gootsteen, toilet en elektra.  Begane grond: De opslagruimte heeft een vrije hoogte van 7 meter met overheaddeur van 4.5x4 meter (hxb). De vloeroppe …",,,Log in om te bekijken,Verhuurd onder voorbehoud,Per direct beschikbaar,Bedrijfshal,Bestaande bouw,2023,110 m²,,,"Lichtstraten, betonvloer en toilet",Niet verplicht,In woonwijk,,,,,,,,,,,€ 995 per maand,110 m²,,,,,,,,,,,,,,,,7 m
43900836,Sint Jorisstraat 5-A,Kantoor,€ 750 /mnd,5211 HA Den Bosch,https://www.fundainbusiness.nl/kantoor/den-bosch/object-43900836-sint-jorisstraat-5-a/?navigateSource=resultlist,2025-06-10 11:32:43,"Dit monumentale spuithuisje  ligt  op de  Binnendieze en  kijkt hier aan de  achterzijde  ook op. Er is een verdieping in gemaakt  en er is  een toilet en pantry.  Een charmante  zelfstandige  ruimte  voor wie een rustige, lichte werkplek zoekt en toch cliënten wil kunnen ontvangen. Totaal oppervlak ca. 22 m2.",,Geen servicekosten bekend,Log in om te bekijken,Onder bod,In overleg,Kantoor,Bestaande bouw,Voor 1906,22 m²,,1 bouwlaag,"Toilet, pantry en verwarming",Niet verplicht,Stadscentrum/dorpskern,"Bushalte op minder dan 500 m, NS Intercitystation op 1500 m tot 2000 m en snelwegafrit op 2000 m tot 3000 m",,,,,,,,,,€ 750 per maand,,,,,,,,,,,,,,,,,
